emp_no,first_name,last_name,title,from_date,salary
452301,Basim,Erva,Senior Engineer,1993-10-20,40000
35331,Basim,Ghazalie,Engineer,1992-01-14,52066
497925,Basim,Gonthier,Senior Staff,1990-11-26,81735
475108,Basim,Hoppenstand,Staff,1995-12-31,84007
491958,Basim,Lorin,Staff,1987-02-13,81905
68910,Basim,Maccarone,Senior Staff,1996-12-30,79321
91348,Basim,Muchinsky,Senior Staff,1992-12-04,40000
248544,Basim,Murrill,Staff,1985-10-20,65252
490007,Basim,Pettey,Engineer,1994-05-22,58195
449450,Basim,Rijsenbrij,Staff,1998-04-17,40000
494609,Basim,Rousseau,Technique Leader,1992-06-22,40000
237413,Basim,Sabnani,Engineer,1985-10-25,46545
465406,Basim,Schade,Senior Staff,1988-07-13,40000
248996,Basim,Sewelson,Senior Staff,1994-01-29,40000
469138,Basim,Shihab,Engineer,1994-07-17,69781
213105,Basim,Steenbeek,Engineer,1986-03-11,50295
97123,Basim,Suppi,Engineer,1996-01-25,46861
472796,Basim,Terkki,Staff,1985-05-23,59336
70500,Basim,Tibblin,Senior Engineer,1989-10-14,43038
41889,Basim,Zumaque,Senior Staff,1987-04-22,56719
272887,Baziley,Acton,Engineer,1997-11-23,40000
432589,Baziley,Alvarado,Senior Engineer,1992-09-30,46216
438657,Baziley,Bernatsky,Technique Leader,1986-07-31,45724
257261,Baziley,Chaudhury,Engineer,1994-01-18,45615
26750,Baziley,Denis,Senior Staff,1985-02-14,70070
203126,Baziley,England,Senior Staff,1985-08-20,46452
408822,Baziley,Farrag,Senior Staff,1992-11-15,53647
243715,Baziley,Gewali,Staff,1990-04-20,40000
204484,Baziley,Gruenwald,Senior Engineer,1990-09-06,40000
72609,Baziley,Guting,Staff,1988-01-24,75714
472829,Baziley,Highland,Staff,1992-09-12,58881
219908,Baziley,Jeansoulin,Engineer,1987-07-10,73122
263116,Baziley,Jullig,Technique Leader,1986-09-04,46314
202433,Baziley,Katzenelson,Senior Engineer,1993-02-06,71691
96704,Baziley,Koshino,Senior Engineer,1991-10-09,42073
476652,Baziley,Lichtner,Senior Engineer,1985-05-24,40000
452232,Baziley,Masada,Staff,1995-11-15,92874
476761,Baziley,Morrey,Engineer,1986-05-20,65324
221086,Baziley,Motley,Senior Staff,1997-07-29,40000
241985,Baziley,Muniz,Senior Engineer,1990-11-23,40000
404233,Baziley,Nivat,Staff,1993-12-01,56413
286319,Baziley,Quaggetto,Assistant Engineer,1994-04-23,43514
286745,Baziley,Rajcani,Staff,1985-06-26,44082
20222,Baziley,Rettelbach,Senior Staff,1997-04-03,48534
471622,Baziley,Rothenberg,Staff,1991-12-25,40000
249161,Baziley,Stanfel,Staff,1986-05-11,40000
264013,Baziley,Stifter,Staff,1997-09-07,95604
420045,Baziley,Tasistro,Senior Engineer,1986-06-20,40000
216102,Baziley,Vingron,Staff,1993-02-05,58493
72474,Baziley,Zaccaria,Assistant Engineer,1990-05-13,43180
429297,Becky,Acton,Staff,1994-12-18,62115
430128,Becky,Berztiss,Senior Staff,1986-05-30,47479
237463,Becky,Buescher,Assistant Engineer,1991-08-30,52885
466710,Becky,Chachaty,Senior Engineer,1986-02-22,76498
284654,Becky,Decleir,Technique Leader,1985-03-26,52541
12103,Becky,Erie,Staff,1990-04-23,56188
290348,Becky,Jakobus,Staff,1999-08-09,40000
222595,Becky,Kavvadias,Senior Engineer,1991-05-08,42485
419568,Becky,Koprowski,Senior Staff,1988-03-08,64989
44164,Becky,McClure,Engineer,1997-05-09,40000
246435,Becky,Merkl,Senior Engineer,1990-11-19,40093
229216,Becky,Muniz,Senior Staff,1994-12-30,40000
282670,Becky,Nollmann,Senior Engineer,1992-10-09,40000
282743,Becky,Paludetto,Senior Staff,1986-01-24,102275
106994,Becky,Penttonen,Engineer,1985-07-16,54805
109373,Becky,Pesch,Senior Engineer,1995-09-16,40000
295449,Becky,Pettis,Senior Staff,1985-06-22,54408
74506,Becky,Picaronny,Staff,1998-12-26,74502
60522,Becky,Polupanov,Senior Engineer,1995-12-22,51557
217775,Becky,Pusterhofer,Engineer,1996-02-17,40000
460108,Becky,Radhakrishnan,Engineer,1985-02-23,43599
416705,Becky,Rikino,Engineer,1995-12-18,45751
259241,Becky,Setiz,Senior Staff,1991-06-04,43883
270448,Becky,Snedden,Senior Engineer,1988-12-08,41906
446276,Becky,Stroustrup,Senior Staff,1987-12-05,71545
413118,Becky,Thiria,Senior Engineer,1985-11-12,62860
420822,Becky,Whitcomb,Senior Engineer,1987-08-31,55377
218722,Becky,Zirintsis,Engineer,1988-04-19,52881
73532,Becky,dAstous,Staff,1999-11-27,58237
252510,Bedir,Akazan,Senior Engineer,1988-02-25,44094
61944,Bedir,Ananiadou,Senior Engineer,1986-08-27,54011
292184,Bedir,Bernini,Senior Engineer,1988-07-14,40000
481202,Bedir,Boguraev,Staff,1986-05-04,77107
224260,Bedir,Bratten,Assistant Engineer,1994-05-27,52528
436188,Bedir,Bridgland,Technique Leader,1986-08-13,76464
50395,Bedir,Garigliano,Engineer,1998-01-14,40000
83923,Bedir,Garnham,Engineer,1996-02-13,68389
36692,Bedir,Guerreiro,Technique Leader,1992-05-10,45352
462006,Bedir,Gyimothy,Staff,1987-12-31,63003
23834,Bedir,Harllee,Staff,1988-08-09,98291
72551,Bedir,Impagliazzo,Engineer,1995-03-20,42410
88776,Bedir,Kaiser,Staff,1994-07-22,46507
62925,Bedir,Kobara,Engineer,1985-07-25,40000
483251,Bedir,Maquelin,Senior Engineer,1985-05-12,40000
453023,Bedir,Markovitch,Senior Staff,1987-02-14,74649
95460,Bedir,Oskamp,Engineer,1999-04-06,40000
61045,Bedir,Poujol,Senior Staff,1993-06-06,55543
231717,Bedir,Puoti,Engineer,1986-07-12,40000
43942,Bedir,Rassart,Senior Engineer,1985-10-11,40000
463660,Bedir,Ratnakar,Senior Staff,1986-02-22,50303
401286,Bedir,Rosiles,Senior Engineer,1990-06-10,40000
289445,Bedir,Shackel,Senior Staff,1987-01-30,40000
44392,Bedir,Shigei,Senior Engineer,1985-03-11,42369
27843,Bedir,Speek,Senior Engineer,1986-04-29,45565
263270,Bedir,Sullins,Senior Engineer,1988-10-04,40000
105981,Bedir,Tyugu,Engineer,1985-06-16,67011
406439,Bedir,Usery,Senior Staff,1985-03-09,55279
16478,Bedir,Wroclawski,Staff,1988-09-27,40000
409822,Bedrich,Baik,Senior Engineer,1987-03-28,40000
106764,Bedrich,Bernardinello,Senior Staff,1986-03-12,41988
11404,Bedrich,Borovoy,Technique Leader,1990-09-25,42907
102627,Bedrich,Businaro,Senior Engineer,1993-07-03,52225
404998,Bedrich,Cannard,Senior Engineer,1985-04-11,50183
286056,Bedrich,Claffy,Staff,1986-12-25,40000
401820,Bedrich,DeMori,Senior Engineer,1985-11-09,40000
74502,Bedrich,Delaune,Staff,1986-04-06,40000
447759,Bedrich,Deville,Senior Staff,1988-04-24,40000
104212,Bedrich,Driscoll,Senior Staff,1990-12-23,54803
442669,Bedrich,Ebeling,Senior Engineer,1985-08-30,55147
277935,Bedrich,Ghalwash,Engineer,1999-07-20,40000
240852,Bedrich,Heyers,Senior Staff,1992-12-07,40000
436540,Bedrich,Ishibashi,Senior Engineer,1987-04-22,55532
462668,Bedrich,Jenevein,Staff,1992-01-16,78900
471173,Bedrich,Kaiser,Senior Engineer,1988-07-24,45239
62427,Bedrich,Kamber,Engineer,1989-10-05,40000
71791,Bedrich,Lalonde,Engineer,1994-03-04,47195
98169,Bedrich,Luft,Staff,1987-01-20,120032
54063,Bedrich,Perna,Assistant Engineer,1986-01-27,47334
447056,Bedrich,Rosen,Engineer,1987-05-04,40000
297968,Bedrich,Schauser,Senior Engineer,1987-04-27,40000
446370,Bedrich,Sewelson,Senior Staff,1985-06-16,52375
218842,Bedrich,Sinicrope,Staff,1988-11-23,59048
218654,Bedrich,Srimani,Staff,1985-09-20,100759
62480,Bedrich,Stemann,Engineer,1989-09-28,68446
483572,Bedrich,Stroustrup,Staff,1994-12-02,66467
492597,Bedrich,Takanami,Staff,1985-09-24,40000
299438,Bedrich,Vanwelkenhuysen,Senior Staff,1986-12-17,50454
43249,Bedrich,Vitiello,Senior Staff,1988-10-10,90940
443411,Behnaam,Bahi,Senior Staff,1986-08-15,78304
66867,Behnaam,Biron,Senior Staff,1990-09-10,45197
39289,Behnaam,Caine,Staff,1988-04-12,50714
232626,Behnaam,Codenie,Senior Staff,1985-12-22,40000
42684,Behnaam,Dengi,Engineer,1986-07-29,40000
420428,Behnaam,Francisci,Senior Staff,1998-12-08,61072
419860,Behnaam,Gide,Technique Leader,1997-01-05,69967
12272,Behnaam,Grandbois,Staff,1987-12-08,43811
472797,Behnaam,Griswold,Engineer,1986-09-03,44059
260546,Behnaam,Haldar,Technique Leader,1986-03-15,40000
466767,Behnaam,Hasenauer,Senior Engineer,1987-12-12,51186
227741,Behnaam,Kobuchi,Staff,1998-06-30,48161
421577,Behnaam,Kopetz,Assistant Engineer,1988-05-25,40000
17576,Behnaam,Krybus,Senior Engineer,1988-02-06,40000
75529,Behnaam,Loncour,Senior Staff,1988-10-19,57678
67835,Behnaam,Luft,Senior Staff,1992-02-22,58660
80332,Behnaam,Masand,Staff,1994-08-16,52246
58609,Behnaam,Mawatari,Staff,1998-07-28,40000
68692,Behnaam,Monarch,Senior Engineer,1988-07-02,40783
45722,Behnaam,Munke,Assistant Engineer,1987-03-14,40000
24472,Behnaam,Oehlmann,Engineer,1985-08-14,76011
486288,Behnaam,Ritzmann,Staff,1997-06-18,40000
106206,Behnaam,Schlenzig,Assistant Engineer,1985-10-01,40000
269252,Behnaam,Schwartzbauer,Staff,1994-08-05,65078
240418,Behnaam,Solares,Technique Leader,1999-02-06,40000
433973,Behnaam,Speek,Staff,1986-07-07,54308
428198,Behnaam,Thibadeau,Senior Staff,1990-10-26,96792
445501,Behnaam,Wolniewicz,Technique Leader,1995-01-03,40000
58059,Behnaam,Zwicker,Engineer,1986-06-20,41917
96318,Berhard,Andreotta,Senior Staff,1985-10-23,41305
66376,Berhard,Antonisse,Senior Staff,1988-09-13,53900
256129,Berhard,Baby,Engineer,1987-09-27,45799
263143,Berhard,Baca,Engineer,1997-11-17,51619
202610,Berhard,Bage,Senior Engineer,1990-02-27,49130
26668,Berhard,Bahk,Staff,1987-05-01,40000
456600,Berhard,Bahr,Senior Staff,1986-02-17,73604
493269,Berhard,Biron,Staff,1997-11-20,40000
270718,Berhard,Birta,Senior Engineer,1992-11-21,41335
90889,Berhard,Braccini,Engineer,1985-05-11,45704
220195,Berhard,Brickell,Senior Engineer,1986-10-29,55635
10693,Berhard,Daescu,Staff,1986-01-08,40000
12422,Berhard,Demos,Staff,1993-06-07,71376
19209,Berhard,Encarnacion,Staff,1997-04-26,40000
71750,Berhard,Eppinger,Senior Engineer,1988-08-04,40000
292578,Berhard,Fujisawa,Senior Staff,1987-02-12,40000
232045,Berhard,Goodrum,Senior Engineer,1987-12-26,40000
456891,Berhard,Griswold,Senior Staff,1987-03-04,71803
59946,Berhard,Hartvigsen,Senior Staff,1999-05-29,40000
50469,Berhard,Hinsberger,Staff,1986-10-30,40000
200183,Berhard,Kakkar,Staff,1986-09-16,40000
95001,Berhard,Kalloufi,Staff,1994-01-06,63565
492798,Berhard,Kandlur,Staff,1988-09-15,66893
73722,Berhard,Lamba,Assistant Engineer,1986-12-28,40000
416573,Berhard,Leaver,Engineer,1988-01-08,57316
10058,Berhard,McFarlin,Senior Staff,1988-04-25,52787
250213,Berhard,Murrill,Senior Engineer,1988-11-15,40000
237012,Berhard,Narwekar,Engineer,1987-07-19,43723
92340,Berhard,Nitsch,Senior Engineer,1988-11-15,45547
25935,Berhard,Parascandalo,Senior Staff,1992-07-24,72520
463746,Berhard,Reistad,Staff,1995-07-13,71610
77292,Berhard,Roccetti,Engineer,1995-01-25,40000
420160,Berhard,Ruther,Engineer,1988-07-28,40000
70964,Berhard,Seghrouchni,Technique Leader,1988-06-23,40000
293048,Berhard,Simmen,Senior Staff,1994-07-19,40000
460300,Berhard,Stemann,Technique Leader,1999-05-31,53741
469145,Berhard,Szilard,Staff,1995-04-06,40000
17018,Berhard,Tasistro,Engineer,1986-02-20,40000
498056,Berhard,Tsunoo,Senior Engineer,1993-05-13,77564
465560,Berhard,Wrigley,Technique Leader,1987-08-01,59135
422880,Berna,Anily,Engineer,1998-12-21,40000
416446,Berna,Antonakopoulos,Engineer,1988-10-25,44541
51234,Berna,Axelband,Engineer,1991-01-08,61536
27888,Berna,Birta,Senior Staff,1989-11-02,44357
89172,Berna,Casley,Senior Staff,1987-02-21,40000
11100,Berna,Cochrane,Staff,1986-10-13,40000
408374,Berna,Coors,Senior Engineer,1994-01-31,40000
32467,Berna,Dulay,Senior Engineer,1988-12-29,40000
490888,Berna,Gargeya,Technique Leader,1998-05-02,47995
275229,Berna,Gewali,Engineer,1990-11-01,40000
272895,Berna,Hertweck,Engineer,1998-08-19,40000
285077,Berna,Hofman,Senior Engineer,1987-07-31,71086
100246,Berna,Jording,Staff,1988-12-28,65433
98525,Berna,Lalonde,Staff,1997-12-18,52186
455913,Berna,Manders,Staff,1990-03-17,40000
273792,Berna,McClurg,Senior Staff,1987-05-22,45830
284449,Berna,McFarlin,Staff,1989-02-20,55890
60825,Berna,Nitto,Senior Staff,1998-07-27,65974
249931,Berna,Oaver,Staff,1999-06-18,45632
200618,Berna,Panienski,Staff,1995-07-21,89477
447764,Berna,Plotkin,Technique Leader,1988-10-07,75377
408128,Berna,Puppe,Staff,1985-04-02,57013
294518,Berna,Rathonyi,Senior Engineer,1985-10-26,42082
36873,Berna,Reghbati,Senior Engineer,1987-12-20,54626
73578,Berna,Rohrbach,Engineer,1996-01-24,50566
25412,Berna,Rotem,Senior Engineer,1987-05-27,43360
232276,Berna,Ruemmler,Staff,1995-07-09,40000
202626,Berna,Schreiter,Senior Staff,1988-10-14,62855
83273,Berna,Sidhu,Staff,1992-03-25,43084
440520,Berna,Sidje,Engineer,1999-09-28,57470
24657,Berna,Silva,Engineer,1990-01-26,40000
10943,Berna,Skafidas,Engineer,1993-05-22,45890
22744,Berna,Spelt,Senior Engineer,1986-12-01,51822
261403,Berna,Uhrig,Senior Staff,1992-11-10,64863
210330,Bernardo,Andreotta,Senior Engineer,1987-01-02,47523
488436,Bernardo,Azuma,Engineer,1985-06-17,40000
217350,Bernardo,Bauknecht,Senior Staff,1993-12-02,80707
464346,Bernardo,Bazzichi,Staff,1988-03-04,54623
498146,Bernardo,Boissier,Engineer,1985-11-18,62905
493812,Bernardo,Brizzi,Senior Staff,1989-07-05,55902
255598,Bernardo,Bugaenko,Assistant Engineer,1988-09-18,64344
460014,Bernardo,Comte,Engineer,1985-10-10,40000
257311,Bernardo,Cooke,Senior Staff,1988-08-23,66997
239401,Bernardo,Denny,Engineer,1997-05-25,40000
407384,Bernardo,Dredge,Staff,1985-10-01,40000
93344,Bernardo,Escriba,Staff,1986-01-07,74129
408922,Bernardo,Gulak,Senior Engineer,1994-01-25,40306
235643,Bernardo,Gyimothy,Senior Staff,1995-03-29,58856
278053,Bernardo,Heystek,Senior Engineer,1985-07-02,46834
237787,Bernardo,Isaac,Senior Staff,1985-10-10,40000
210682,Bernardo,Jonsson,Senior Engineer,1991-07-05,47284
407027,Bernardo,Karner,Senior Engineer,1991-03-22,49133
455038,Bernardo,Kermarrec,Senior Engineer,1987-01-14,60547
416543,Bernardo,Kornyak,Staff,1986-04-17,40000
480584,Bernardo,Lichtman,Engineer,1986-07-26,78822
475441,Bernardo,Lorcy,Senior Engineer,1998-06-29,40044
99927,Bernardo,Luck,Engineer,1986-03-11,40000
487503,Bernardo,Maraist,Engineer,1989-04-20,40000
25562,Bernardo,Menhardt,Staff,1997-12-18,62196
202372,Bernardo,Msuda,Senior Staff,1987-07-25,58626
267924,Bernardo,Munos,Senior Staff,1994-06-19,62436
422926,Bernardo,Ouhyoung,Senior Engineer,1987-12-22,53843
402557,Bernardo,Ozeki,Senior Engineer,1986-03-08,63659
23538,Bernardo,Pargaonkar,Technique Leader,1991-06-20,46145
245257,Bernardo,Schiper,Senior Engineer,1985-05-20,40000
421528,Bernardo,Smeets,Senior Engineer,1986-09-11,47535
442133,Bernd,Angel,Staff,1993-07-28,85908
253885,Bernd,Atchley,Senior Engineer,1986-04-25,41274
271053,Bernd,Baby,Senior Engineer,1987-08-10,42709
294947,Bernd,Back,Senior Engineer,1989-03-14,60530
20585,Bernd,Butterworth,Engineer,1987-11-06,70715
71993,Bernd,Caine,Senior Staff,1985-08-24,40000
69166,Bernd,Chiodo,Staff,1990-07-31,45681
232907,Bernd,Christ,Staff,1986-12-06,47728
52167,Bernd,Copas,Technique Leader,1985-03-15,40000
226133,Bernd,Dolinsky,Engineer,1996-11-27,40000
205236,Bernd,Frijda,Engineer,1987-11-25,66688
487054,Bernd,Gire,Staff,1998-02-28,40000
293539,Bernd,Jayawardene,Staff,1994-03-14,40000
441028,Bernd,Krychniak,Engineer,1992-05-28,40000
35373,Bernd,Kumaresan,Staff,1985-12-30,70037
205318,Bernd,Lakshmanan,Senior Engineer,1987-12-01,57654
277472,Bernd,Lung,Staff,1994-07-06,49033
215438,Bernd,Magalhaes,Senior Engineer,1985-09-20,48133
410957,Bernd,Malabarba,Senior Staff,1988-11-24,55417
439604,Bernd,Nations,Senior Staff,1986-08-30,48144
206995,Bernd,Nollmann,Staff,1988-01-12,44524
88600,Bernd,Ranze,Staff,1988-08-12,64507
436269,Bernd,Ressouche,Assistant Engineer,1986-08-27,61110
489341,Bernd,Schmezko,Engineer,1985-10-02,40000
105224,Bernd,Schrift,Engineer,1993-06-15,40000
105123,Bernd,Schwaller,Staff,1985-08-13,40000
254663,Bernd,Shackell,Senior Engineer,1992-10-28,40000
454754,Bernd,Skogmar,Senior Staff,1990-07-14,83792
299755,Bernd,Stemann,Senior Engineer,1986-09-07,40000
237419,Bernd,Trachtenberg,Senior Engineer,1985-07-28,53503
205471,Bernd,Vasanthakumar,Senior Staff,1991-12-07,40000
427138,Bernd,Vidya,Staff,1986-04-26,67909
81589,Bernd,Wilfing,Senior Engineer,1988-06-03,40000
278523,Berni,Back,Staff,1997-07-21,75523
26623,Berni,Barbanera,Senior Staff,1989-06-23,86569
94606,Berni,Casley,Staff,1986-09-13,67274
19996,Berni,Chinen,Senior Engineer,1999-12-14,56085
87807,Berni,Diderrich,Engineer,1987-03-05,40000
246077,Berni,Fordan,Staff,1988-04-16,40000
487617,Berni,Hainaut,Engineer,1998-07-19,66691
273400,Berni,Hegner,Senior Engineer,1987-02-05,53129
68780,Berni,Itschner,Technique Leader,1988-11-11,40000
61179,Berni,Kaltofen,Staff,1994-04-17,76765
449518,Berni,Krupka,Senior Staff,1988-02-15,40000
483370,Berni,Kumaresan,Staff,1997-12-18,46911
445176,Berni,Leuchs,Engineer,1986-11-21,52865
293905,Berni,Mateescu,Engineer,1985-12-17,40000
426804,Berni,Merle,Senior Engineer,1985-09-08,40000
463808,Berni,Mitchem,Senior Engineer,1992-07-31,40000
24534,Berni,Morton,Engineer,1988-10-23,40000
77641,Berni,Nishimukai,Staff,1987-04-07,79829
30101,Berni,Olano,Technique Leader,1986-12-23,40000
403226,Berni,Pena,Senior Engineer,1986-09-03,40000
291116,Berni,Pocchiola,Staff,1985-09-27,47549
455129,Berni,Preusig,Senior Staff,1987-03-10,79016
280165,Berni,Srimani,Senior Engineer,1990-05-28,40000
436731,Berni,Uhrig,Staff,1999-09-17,40000
486784,Berni,Verhaegen,Staff,1999-07-12,62228
269706,Berni,Wissmann,Senior Staff,1985-11-13,65444
247971,Berni,Zweizig,Staff,1985-10-31,73441
465547,Bernice,Alpin,Senior Staff,1987-11-05,76663
426382,Bernice,Bernardinello,Staff,1986-05-24,40000
461358,Bernice,Boguraev,Senior Engineer,1986-03-20,50528
295821,Bernice,Brobst,Staff,1987-09-06,51591
410514,Bernice,Compeau,Senior Engineer,1987-12-08,40000
44750,Bernice,Coors,Senior Staff,1992-04-25,99844
84335,Bernice,Dayang,Senior Engineer,1988-11-02,61668
223827,Bernice,Driscoll,Technique Leader,1986-11-28,54389
482317,Bernice,Engelmann,Staff,1986-10-17,40000
267103,Bernice,Figueira,Senior Engineer,1986-02-22,45031
223927,Bernice,Furudate,Engineer,1986-05-07,40000
256468,Bernice,Grospietsch,Engineer,1999-04-17,40000
450927,Bernice,Hempstead,Senior Engineer,1987-10-29,62267
402650,Bernice,Horswill,Staff,1991-06-24,40000
291119,Bernice,Huxford,Senior Staff,1986-09-28,69286
418586,Bernice,Isaak,Senior Staff,1985-12-06,45958
64689,Bernice,Jakobus,Technique Leader,1986-07-29,45524
102144,Bernice,Karlin,Engineer,1998-09-28,40000
93735,Bernice,Krichel,Senior Engineer,1988-07-15,51788
240055,Bernice,Kumaresan,Senior Engineer,1988-02-18,57982
274084,Bernice,Luon,Senior Engineer,1996-01-28,43272
495539,Bernice,Mansanne,Technique Leader,1985-11-18,40000
102778,Bernice,Mitchem,Senior Engineer,1988-08-16,49949
71471,Bernice,Peak,Engineer,1998-02-14,50095
252701,Bernice,Penttonen,Senior Engineer,1988-04-26,40000
440094,Bernice,Rabehasaina,Staff,1988-11-23,40000
37871,Bernice,Reghbati,Engineer,1996-02-27,50815
243724,Bernice,Riefers,Staff,1987-11-21,79382
18402,Bernice,Ritzmann,Staff,1985-05-02,45396
66948,Bernice,Rusterholz,Staff,1988-05-27,40313
53560,Bernice,Senzako,Senior Engineer,1986-03-07,40000
242396,Bernice,Sichman,Senior Engineer,1997-09-02,56836
103670,Bernice,Siepmann,Staff,1992-02-03,66848
42300,Bernice,Tetzlaff,Staff,1988-08-10,64797
272372,Bernice,Tsunoo,Engineer,1988-04-08,74479
425169,Bernice,Vernadat,Engineer,1985-05-28,47384
56936,Bernice,Wendorf,Senior Engineer,1988-10-23,40000
27743,Bernt,Anily,Staff,1994-07-23,40000
33748,Bernt,Argence,Engineer,1985-08-21,68785
229578,Bernt,Ariola,Senior Staff,1988-07-15,80217
230156,Bernt,Beeson,Staff,1988-12-17,72491
406384,Bernt,Bouloucos,Staff,1986-10-18,91739
266716,Bernt,Buchter,Technique Leader,1999-10-20,40000
270146,Bernt,Cappelli,Senior Engineer,1986-07-09,70315
427354,Bernt,Collavizza,Engineer,1987-09-28,61717
480828,Bernt,Dayang,Senior Staff,1987-11-06,50992
32261,Bernt,Dehkordi,Senior Engineer,1996-07-29,61148
445852,Bernt,Doering,Staff,1997-08-04,43568
94028,Bernt,Fraisse,Senior Staff,1985-10-11,58868
206507,Bernt,Gonthier,Engineer,1988-08-15,40000
17683,Bernt,Henders,Senior Staff,1990-11-21,54891
461776,Bernt,Improta,Senior Staff,1996-09-02,40000
218466,Bernt,Kadhim,Engineer,1991-12-23,40000
83092,Bernt,Kranzdorf,Senior Engineer,1985-04-20,40000
293893,Bernt,Kropf,Engineer,1991-04-13,40000
219844,Bernt,Lorin,Engineer,1996-11-16,49167
438528,Bernt,Lowrie,Engineer,1993-10-11,62157
421792,Bernt,Maliniak,Senior Staff,1987-05-17,40000
55511,Bernt,Marshall,Senior Staff,1999-12-19,45647
434242,Bernt,Matzov,Senior Staff,1997-02-14,69197
465616,Bernt,Moffat,Staff,1988-10-04,55858
433188,Bernt,Petereit,Staff,1992-10-20,40000
458013,Bernt,Pettit,Engineer,1998-11-25,40000
413297,Bernt,Schade,Senior Staff,1991-02-08,50156
79390,Bernt,Shigei,Staff,1999-08-02,57482
20367,Bernt,Takanami,Engineer,1992-07-06,40000
36178,Bernt,Valette,Staff,1991-06-04,89600
62859,Bernt,Wolniewicz,Senior Engineer,1992-09-13,48163
480994,Berry,Alpay,Senior Staff,1986-12-29,50832
75805,Berry,Benveniste,Senior Staff,1987-08-18,54047
59268,Berry,Besancenot,Staff,1997-01-01,40000
419223,Berry,Birch,Staff,1985-06-30,59407
82585,Berry,Bodoff,Senior Staff,1986-06-28,52198
294481,Berry,Brookner,Staff,1986-05-28,40000
276927,Berry,Codenie,Senior Staff,1996-02-02,40000
98054,Berry,Conry,Senior Engineer,1985-09-18,52842
427075,Berry,Cunliffe,Engineer,1997-07-05,51224
284529,Berry,Danlos,Senior Engineer,1985-12-08,40351
432798,Berry,Denna,Senior Staff,1991-08-23,40000
83385,Berry,Falco,Senior Staff,1991-05-10,58584
30769,Berry,Frolund,Senior Staff,1988-01-12,83160
276360,Berry,Gerlach,Engineer,1993-05-22,40000
43348,Berry,Gonthier,Engineer,1988-07-05,40000
245634,Berry,Hatcliff,Senior Engineer,1986-03-07,52121
49570,Berry,Henseler,Senior Staff,1985-06-20,47919
464889,Berry,Hettesheimer,Engineer,1986-06-20,40000
263126,Berry,Hinsberger,Senior Staff,1988-08-06,41022
491065,Berry,Huhdanpaa,Staff,1986-09-04,40000
235884,Berry,Ishibashi,Engineer,1985-05-17,44759
30673,Berry,Ozeki,Senior Staff,1995-07-06,42867
89883,Berry,Paludetto,Staff,1995-12-22,54483
461976,Berry,Papadias,Senior Engineer,1985-02-16,45364
22190,Berry,Perna,Technique Leader,1985-12-13,58561
260222,Berry,Preusig,Senior Staff,1987-01-20,40000
45256,Berry,Puppo,Staff,1986-03-01,75600
247306,Berry,Rosaz,Staff,1995-06-09,40000
453800,Berry,Rosiles,Staff,1987-12-11,40000
271103,Berry,Shigei,Senior Staff,1988-03-13,40000
56575,Berry,Simkin,Engineer,1994-08-03,57045
95798,Berry,Stemann,Technique Leader,1988-10-22,50007
427859,Berry,Trystram,Engineer,1989-05-02,40000
24519,Berry,Vasanthakumar,Staff,1988-10-15,43513
443770,Berry,Waymire,Engineer,1985-05-25,40000
293700,Berry,Zeidenstein,Senior Engineer,1987-10-29,60656
285747,Berry,Zuberek,Senior Engineer,1988-07-12,57645
98394,Berthier,Anick,Engineer,1991-01-06,57807
487233,Berthier,Conia,Senior Engineer,1986-11-21,62551
402772,Berthier,Cronau,Engineer,1987-12-04,49813
85622,Berthier,Dengi,Staff,1998-07-02,58379
17573,Berthier,Deverell,Staff,1987-04-05,77659
72788,Berthier,Dulli,Staff,1993-09-28,65988
420798,Berthier,Ebeling,Engineer,1988-07-12,47486
203839,Berthier,Hagimont,Senior Engineer,1987-04-26,60338
437238,Berthier,Hartvigsen,Engineer,1985-05-29,42952
407553,Berthier,Hmelo,Senior Engineer,1985-10-31,40000
463665,Berthier,Hutter,Engineer,1996-10-15,40000
436339,Berthier,Koblitz,Senior Engineer,1988-09-10,40000
214727,Berthier,Koprowski,Senior Engineer,1987-06-19,40000
71609,Berthier,Manderick,Senior Staff,1985-04-10,40000
103042,Berthier,Masand,Staff,1987-07-14,70417
429069,Berthier,Montresor,Senior Staff,1991-04-27,60139
272100,Berthier,Murtagh,Engineer,1991-06-24,41707
455435,Berthier,Pelz,Assistant Engineer,1986-01-05,53446
485181,Berthier,Salvesen,Senior Engineer,1998-04-06,40000
276950,Berthier,Sewelson,Staff,1994-05-14,42196
86575,Berthier,Sinitsyn,Staff,1997-11-16,64344
410216,Berthier,Thorensen,Senior Staff,1987-01-18,40000
264565,Berthier,Willoner,Staff,1991-01-26,40000
96196,Berthier,Zambonelli,Senior Engineer,1994-07-30,45838
492139,Berto,Anandan,Engineer,1999-09-02,52369
284391,Berto,Bennet,Technique Leader,1987-12-31,50438
238787,Berto,Bennis,Staff,1987-03-12,45136
467825,Berto,Benzmuller,Senior Engineer,1987-12-07,80348
233278,Berto,Eiron,Engineer,1988-06-07,44669
63612,Berto,Foote,Engineer,1988-07-09,50531
76709,Berto,Georg,Engineer,1988-07-11,40000
84322,Berto,Gide,Assistant Engineer,1992-09-28,54114
22816,Berto,Greibach,Staff,1993-06-24,40000
78328,Berto,Gruenwald,Senior Engineer,1991-06-05,40000
92359,Berto,Hanratty,Senior Staff,1986-05-11,69112
